id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
6Ws2uzGXzoEpHDFCVFgGR0,0.526,0.821,8,-6.364,0,0.0668,0.109,0.000948,0.241,0.7,130.045,263053,4,studio
0uyYuVepfJXeTJekd5voSG,0.761,0.81,0,-6.427,1,0.215,0.311,0,0.0753,0.586,130.977,246587,4,studio
10oAh0TlQpHtydWGQbRFdx,0.774,0.599,5,-5.107,1,0.0536,0.15,7.43e-06,0.316,0.648,162.242,248413,4,studio
0foejc6hqCDlA4m8hxtAiq,0.719,0.51,6,-5.67,0,0.507,0.0658,0,0.364,0.548,185.696,202867,4,studio
30fxqzFjhxk19DeoH6z7mW,0.563,0.73,2,-4.045,1,0.135,0.192,0.000416,0.297,0.454,184.005,240427,4,studio
1r4Cr3gJNg7OM0jtCVgYMX,0.776,0.639,11,-6.048,0,0.0543,0.201,0.00857,0.179,0.807,75.011,293133,4,studio
2vTRhPRGbN5hmuOH2gJzPQ,0.523,0.514,4,-5.432,0,0.0406,0.151,0,0.467,0.412,178.594,245813,4,studio
3ZuiIFm9nRnkRz8AZAekjJ,0.845,0.664,4,-6.115,0,0.0461,0.181,0,0.267,0.357,96.005,211253,4,studio
2NjhV99ncY4A5lSkTHvTtU,0.621,0.714,1,-5.343,1,0.0641,0.0352,1.63e-05,0.11,0.892,96.007,183533,4,studio
0TzbmxnYrlMV6dEln2l9nb,0.437,0.564,1,-8.375,1,0.0285,0.552,0,0.217,0.307,96.018,273800,4,studio
2TdDRjNiF1HuRvnclprnce,0.824,0.677,0,-5.752,1,0.0449,0.0268,0.0164,0.363,0.696,122.223,187733,4,studio
6vOReYWXVpmVRKKM0xeGdR,0.91,0.669,6,-4.989,0,0.0639,0.0284,0.00447,0.109,0.564,124.467,235173,4,studio
3rfhI32Il2hVRKDkuGeeen,0.912,0.595,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,234453,4,studio
4356Typ82hUiFAynbLYbPn,0.861,0.663,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,220800,4,studio
62zFEHfAYl5kdHYOivj4BC,0.855,0.67,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,227280,4,studio
4yOn1TEcfsKHUJCL2h1r8I,0.758,0.668,7,-3.589,1,0.158,0.0338,0,0.204,0.531,135.958,229507,4,studio
6Zo3wgDE076K2AuiGZF3CS,0.774,0.793,0,-3.667,0,0.0478,0.156,0,0.193,0.547,113.967,202307,4,studio
0k2GOhqsrxDTAbFFSdNJjT,0.6,0.951,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,218573,4,studio
33YmfTNoLnbkRnOjf7YIVm,0.809,0.723,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4,studio
01v2iOCnr4HDb1nUJLZods,0.851,0.722,7,-3.873,0,0.0639,0.0319,0,0.108,0.452,126.885,197936,4,studio
6a8GbQIlV8HBUW3c6Uk9PH,0.743,0.825,2,-5.995,1,0.149,0.0142,2.12e-05,0.237,0.8,127.045,237120,4,studio
0rHVd8h0cFwgLgPFem6S60,0.804,0.916,0,-3.406,1,0.049,0.37,1.18e-05,0.0812,0.538,120.028,196000,4,studio
20jYtEun4dUdYZ9foaOC48,0.682,0.802,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,326960,4,studio
5MzjQ95rdB2xt9DNa2IzaC,0.928,0.69,5,-2.76,0,0.061,0.00937,0,0.547,0.604,130.889,239773,4,studio
6tp27J7xy18DQiQXut3GsF,0.785,0.662,9,-5.299,1,0.186,0.16,0,0.0784,0.604,89.885,219000,4,studio
2ygMBIctKIAfbEBcT9065L,0.931,0.648,1,-3.15,0,0.181,0.00937,0,0.752,0.744,153.649,213067,4,studio
5WYt8YhgFh1siHIqepXBzf,0.825,0.745,10,-3.834,0,0.0528,0.189,1.93e-06,0.264,0.896,98.059,259453,4,studio
4nZwaKTdxczLpUHfLVAozA,0.508,0.913,2,-6.289,0,0.379,0.242,0,0.66,0.628,106.893,210200,4,studio
4X76j1maXUPutHtrb9cGnL,0.754,0.846,4,-6.804,0,0.257,0.0676,5.37e-05,0.16,0.749,104.243,268440,4,studio
4ON5EZhGxABE5nSS1rRlrW,0.87,0.763,5,-2.87,0,0.106,0.136,0.000145,0.361,0.77,98.329,259347,4,studio
4fixebDZAVToLbUCuEloa2,0.695,0.724,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139.0,224400,4,studio
4rHZZAmHpZrA3iH5zx8frV,0.512,0.574,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,484147,4,studio
2gam98EZKrF9XuOkU13ApN,0.97,0.808,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293,4,studio
55qBw1900pZKfXJ6Q9A2Lc,0.804,0.719,10,-4.581,1,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760,4,studio
