id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
4OYBEZrlFihPRbuIha7hDl,0.784,0.604,0,-14.078,1,0.0369,0.0671,0.744,0.972,0.616,129.681,562307,4,live
3KqpBCi65D2JfzttuROxbi,0.719,0.454,7,-10.778,1,0.0381,0.539,0.00828,0.876,0.614,91.532,259214,4,live
20xHDdFWRe66PWVibJemwQ,0.946,0.504,10,-6.914,1,0.178,0.522,0,0.53,0.618,135.734,177533,4,live
1vYKGFkCti8OqWvPSQiof1,0.959,0.493,10,-5.39,1,0.0553,0.000116,0.0223,0.974,0.174,121.597,267853,4,live
3IilTrLtKkHLUpZNhNRD4V,0.943,0.566,0,-10.359,1,0.123,0.00488,0.346,0.728,0.324,117.813,403027,4,live
6hnCx2jmD0RPkbtzUXSBn4,0.887,0.338,2,-8.873,1,0.0438,0.00962,0.011,0.556,0.399,206.255,223667,4,live
4hORoQIs5HEFXbuHGW74nZ,0.797,0.644,10,-8.468,1,0.0407,0.00462,0,0.929,0.392,110.035,178947,4,live
1tsXh39Dn2eyDvtSa0QXdS,0.813,0.471,11,-7.353,0,0.214,0.572,0,0.672,0.365,129.631,267560,4,live
2u7UUC5j1AStZ72gtxmXca,0.817,0.35,4,-9.686,0,0.0816,0.0116,0.0918,0.347,0.406,105.593,443987,4,live
30NTB3ooCZlzJPv13pihQh,0.825,0.549,5,-10.713,0,0.0748,0.00239,0.0281,0.896,0.459,126.134,283080,4,live
45kzK2WRKWstiTnIzNZdxH,0.861,0.392,5,-5.014,1,0.0528,0.473,0,0.898,0.657,83.0,310947,4,live
02reV4nmbcAlQAYl5soMdY,0.992,0.521,11,-2.701,0,0.0579,0.144,0,0.956,0.614,137.068,210752,4,live
66U5TGVrzHB7nqqglwnKGf,0.749,0.587,10,-8.361,0,0.0512,0.651,0,0.699,0.951,129.048,224400,4,live
